event_type_id,name,date,contact_email,phone,website,location,street,city,state,zip,number_of_participants,online_registration_link,ContactFirstName,ContactLastName,ContactTitle,CompanyName,BillingAddress,BillingCity,BillingState,BillingZip,notes,results_url,course_map_url
,2013 Wisconsin Triterium Triathlon,6/28/2009,raceday@racedayeventsllc.com,6083165755 ,,"Verona, WI",,,,,,,DUPLICATE see row #22,,,,,,,,,,
,Ride Of Silence,5/15/2013,rideofsilence.chicago@gmail.com,6302897360 ,http://www.rideofsilence.org/main.php,"Bartlett, IL",,,,,16,,Elizabeth,Adamczyk,,,,,,,,,
,Chicago Ride of Silence,5/15/2013,rideofsilence.chicago@gmail.com,6302897360 ,http://www.rideofsilence.org/main.php,"Chicago, IL",,,,,120,,Elizabeth,Adamczyk,,,,,,,,,
,Thunder In The Valley / Terre Haute Triathlon,5/18/2013,ethan@cross-roads-events.com, ,http://cross-roads-events.com/thtri/,"Terre Haute, IN",,,,,203 (2012),,ethan,,,,"Crossroads Events, 3521 E Grant Ave, Terre Haute,",,,,,http://cross-roads-events.com/results/THT12OVR.HTM,http://cross-roads-events.com/thtri/course.html
,Cream City Cycle Club Century,8/25/2013,pfersch@sbcglobal.net,4144536872 ,http://creamcitycycleclub.com/content.aspx?page_id=0&club_id=119379,"Holland, MI",,,,,,,Harriet,Pfersch,,,"P.O. Box 894
Milwaukee , WI 53201",,,,,,
,Cooley Run 5k,5/12/2013,cooleyrun5k@cancerkissmycooley.org, ,http://www.cancerkissmycooley.org/cooleyrun/,"Huntley, IL",,,,,,,Kathleen,,,,,,,,,,
,3 Disciplines - A Girl's Best Friend Triathlon,8/24/2013,info@3disciplines.com,2315462229 ,,"Kalamazoo, MI",,,,,,,Kenny,Krell,,,"PO Box 458 Gaylord, MI 49734",,,,,,go to the EVENTS page. Each event has its own page
,Cheesehead Run,8/24/2013,sswerner@aol.com, ,,"Hilbert, WI",,,,,,,Mark,Werner,,,"PaceSetters, Inc., 
PO Box 681, Menasha, WI 54952-",,,,,,
,St Croix Valley Triathlon,8/31/2013,info@finalstretch.com,5076649438 ,http://www.finalstretch.com/triathlon-events/st-croix-valley-triathlon/info/,"Hudson, WI",,,,,850,,Mark,Bongers,,,"Final Stretch, Inc.
c/o Mark Bongers
P.O. Box 121,",,,,,http://www.finalstretch.com/triathlon-events/st-croix-valley-triathlon/results/,http://www.finalstretch.com/triathlon-events/st-croix-valley-triathlon/course-maps/
,Susan G. Komen Chicagoland Race for the Cure Ž,5/12/2013,info@komenchicago.org,7734440061 ,http://www.komenchicago.org/,"Chicago, IL",,,,,,,Rita  ,Forden,chief Ex,,"8765 W Higgins Rd, Suite 401, Chicago IL 60631",,,,,,http://www.komenchicago.org/komen-race-for-the-cure/race-information/chicago-event-site-2013.pdf
,Tryon Farm Trail 5/10/50K RUN,5/18/2013,will@tryonfarm.com,2198723276 ,http://www.tryonfarm.com/events/,"Michigan City, IN",,,,,approx 50 registered in each event as of 5/7,,Will,Noonan,Race Director,,,,,,,,"https://maps.google.com/maps?t=p&q=41.7237778089194, -86.8407948761963&z=15"
,Peoria Ride of Silence,5/15/2013,cannondale_25@juno.com,3096962591 ,,"Peoria, IL",,,,,150,,,,,,,,,,,,
,Life Time Tri Chicago,8/25/2013,chicagoregistration@lifetimefitness.com,7734042281 ,http://www.chicagotriathlon.com/,"Chicago, IL",,,,,9000,,,,,,,,,,,http://www.chicagotriathlon.com/page/show/660808-results,
,Geist Half Marathon & 5K,5/18/2013,info@geisthalf.com,"8008373378,3174963599 ",http://geisthalf.com/,"Fishers, IN",,,,,"2439-half, 3063-5k",,,,,,"Geist Half Marathon Inc, POBox 361313, Indianapoli",,,,,http://onlineraceresults.com/event/view_event.php?event_id=8456,
,"Got2Run For Education, 2.62 Micro-Marathon Run/Walk & 8K Run",5/18/2013,RaceDirector@Got2Run.org,8478822010 ,http://www.got2run.org/,"Arlington Hts., IL",,,,,"572-mini, 182-8k",,,,,,,,,,,http://www.got2run.org/page9/RaceResults.html,http://www.got2run.org/page10/CourseMaps.html
,Galena Triathlon & Duathlon,5/18/2013,events@galena.org,8157773557 11,http://galena.org/triathlon-duathlon/,"Galena, IL",,,,,"674-tri, 173-dua",,,,,,,,,,,http://galena.org/triathlon-duathlon/results/,http://www.galena.org/wp-content/uploads/2013/03/Bike-Route_2013.pdf
,High Profile Adventure Camp,3/22/2009,gerryv@teamhighprofile.com, ,,"Mount Carroll , IL",,,,,,,,,,,,,,,,,
,Life Time Indoor Tri - Algonquin,3/22/2009,kstringer@lifetimefitness.com, ,,"Algonquin, IL",,,,,,,,,,,,,,,,,
,Coach Mark's Boston 20 Training Run,3/22/2009,theroadtoboston@rcn.com, ,,"Barrington, IL",,,,,,,,,,,,,,,,,
,FFC 14th Annual Indoor Triathlon Series,3/22/2009,endurance@ffc.com, ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Fox Valley Winter Challenge Series Race #3,3/22/2009,info@yourhealthvision.com, ,,"Geneva , IL",,,,,,,,,,,,,,,,,
,"Ramble Into Spring 5K Run/Walk, 10K Run, or 10-Mile Run",3/22/2009,kasmallheer@mckendree.edu, ,,"Lebanon, IL",,,,,,,,,,,,,,,,,
,Interplanetary 5K race & 1 mile walk,3/22/2009,sschafer@peoriariverfrontmuseum.org, ,,"Peoria, IL",,,,,,,,,,,,,,,,,
,Holliday Park Trail Run,3/22/2009,tuxbro@indy.rr.com, ,,"Indianapolis, IN",,,,,,,,,,,,,,,,,
,Circular Logic Marathon,3/22/2009,joeely618@gmail.com, ,,"West Lafayette, IN",,,,,,,,,,,,,,,,,
,Tri Faster Pedal for the Food Pantry,3/22/2009,info@trifaster.com, ,,"Franklin, WI",,,,,,,,,,,,,,,,,
,Bunny Rock Milwaukee,3/22/2009,events@adrenalinesportsmanagement.com, ,,"Milwaukee, WI",,,,,,,,,,,,,,,,,
,Chi Town Half Marathon & 10k,3/23/2009,info@allcommunityevents.com, ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Life Time Indoor Tri - Burr Ridge,3/23/2009,aarflack@lifetimefitness.com, ,,"Burr Ridge, IL",,,,,,,,,,,,,,,,,
,Michael Cusacks Leprechaun 5K Dash.,3/23/2009,cusackhurling@gmail.com, ,,"Oak Forest, IL",,,,,,,,,,,,,,,,,
,2013 ABD Indoor Time Trial Series - TT #3,3/23/2009,abdcycling@gmail.com, ,,"Winfield, IL",,,,,,,,,,,,,,,,,
,RecPlex Indoor Triathlon #3,3/23/2009,raceinfo@plprairie.com, ,,"Pleasant Prairie, WI",,,,,,,,,,,,,,,,,
,Tri-umph In-Seaon Ladies Triathlon training,3/25/2009,info@tri-umph.us, ,,"Lake Forest, IL",,,,,,,,,,,,,,,,,
,Tri-umph Multisport triathlon training kick off,3/25/2009,info@tri-umph.us, ,,"Lake Forest, IL",,,,,,,,,,,,,,,,,
,Walmart Easter Egg Scramble 5K,3/29/2009,scramble5k@gmail.com, ,,"Davenport, IA",,,,,,,,,,,,,,,,,
,Blackberry Farm 5K Spring Gallop,3/29/2009,ssmith@fvpd.net, ,,"Aurora, IL",,,,,,,,,,,,,,,,,
,Bunny Rock 5k,3/29/2009,events@adrenalinesportsmanagement.com, ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Triathlon Training Course,3/29/2009,imras@schosp.org, ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,March 4 Meg 5k Run/Walk,3/29/2009,info@march4meg.com, ,,"Evergreen Park, IL",,,,,,,,,,,,,,,,,
,Tri-umph In-Seaon Triathlon training,3/29/2009,info@tri_umph.us, ,,"Lake Forest, IL",,,,,,,,,,,,,,,,,
,4th Annual - Saint Clare - Easter Eggstraordinaire 5K Run,3/29/2009,mrfischer6@stclair.k12.il.us, ,,"O'Fallon, IL",,,,,,,,,,,,,,,,,
,Chocolate Chase Rabbit Race 5K,3/29/2009,jsmith@palosheights.org, ,,"Palos Heights, IL",,,,,,,,,,,,,,,,,
,Egg Shell Shuffle 1/2 marathon and 5K run/walk and EGG HUNT!,3/29/2009,jrraces@gmail.com, ,,"Schaumburg, IL",,,,,,,,,,,,,,,,,
,Most Eggccellent 5k & Kids' 1k,3/29/2009,tom.taylor@outlook.com, ,,"Portage, IN",,,,,,,,,,,,,,,,,
,SKMC Rogaine run/navigation,3/29/2009,andygmac61@gmail.com, ,,"North Pairie, WI",,,,,,,,,,,,,,,,,
,Team In Training Recruitment Party,4/1/2009,teamintraining_ilc@llc.org, ,,"Des Plaines, IL",,,,,,,,,,,,,,,,,
,Together We Tri: Off Season Training-Session 5,4/1/2009,laoise.obroin@gmail.com, ,,"Glenview, IL",,,,,,,,,,,,,,,,,
,Boston Marathon Final Tips Clinic,4/2/2009,theroadtoboston@rcn.com, ,,"Chicago , IL",,,,,,,,,,,,,,,,,
,Wheel & Sprocket Bike Expo Sale,4/4/2009,barb.barbian@wheelandsprocket.net, ,,"West Allis, WI",,,,,,,,,,,,,,,,,
,Stepping Stones April Fools 5k Run,4/5/2009,drerin@ducatchiropractic.com, ,,"Bloomingdale, IL",,,,,,,,,,,,,,,,,
,Cougar Trail Trot,4/5/2009,jengarri@gmail.com, ,,"Naperville, IL",,,,,,,,,,,,,,,,,
,Healthy Living 5K and 12 mile ride,4/5/2009,bdepirropalatineparks.org, ,,"Palatine, IL",,,,,,,,,,,,,,,,,
,Arny Johnson 10 Mile and 5K Run,4/5/2009,sarabrakmann@rockfordhabitat.org, ,,"Rockford, IL",,,,,,,,,,,,,,,,,
,International Lincoln Presidential Half Marathon,4/5/2009,breardon@hshs.org, ,,"Springfield, IL",,,,,,,,,,,,,,,,,
,Ringing in Spring 5K/10K,4/5/2009,michael.jones16@comcast.net, ,,"Valparaiso, IN",,,,,,,,,,,,,,,,,
,Sarett Nature Center Spring Stampede 5k Run & Walk,4/5/2009,mikem@sarett.com, ,,"Benton Harbor, MI",,,,,,,,,,,,,,,,,
,Only Fools Run at Midnight,4/5/2009,bwetzler@minocqua.org, ,,"Minocqua, WI",,,,,,,,,,,,,,,,,
,Trailbreaker Marathon,4/5/2009,pgrulke@ci.waukesha.wi.us, ,,"Waukesha, WI",,,,,,,,,,,,,,,,,
,"Amped Up Adventure Race Series- Rockford, IL Race",4/6/2009,Erickfarish@me.com, ,,"Rockford , IL",,,,,,,,,,,,,,,,,
,Sprint for Spastics,4/6/2009,http://www.athletecalendar.com/details.php?race=10788, ,,"Downers Grove, IL",,,,,,,,,,,,,,,,,
,4th Annual Benedictine AMSA 5k,4/6/2009,buamsa@gmail.com, ,,"Lisle, IL",,,,,,,,,,,,,,,,,
,Bikes and Brew,4/9/2009,heidi.hoffman@lungil.org, ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Just Move It! Challenge,4/12/2009,jmichallenge@gmail.com, ,,"Arlington Heights, IL",,,,,,,,,,,,,,,,,
,3rd Annual Iron Horse 5k,4/12/2009,, ,,"Elgin, IL",,,,,,,,,,,,,,,,,
,Tri-umph off season triathlon training,4/12/2009,info@tri_umph.us, ,,"Lake Forest, IL",,,,,,,,,,,,,,,,,
,Advocate Good Samaritan Quarryman Challenge 10 Mile & 5K,4/12/2009,info@quarrymanchallenge.com, ,,"Lemont, IL",,,,,,,,,,,,,,,,,
,Discovery Dash,4/12/2009,kelsey.deacon@roselindfranklin.com, ,,"North Chicago, IL",,,,,,,,,,,,,,,,,
,Rockdale Ramblin Run 10K,4/12/2009,dgale@jolietpark.org, ,,"Rockdale, IL",,,,,,,,,,,,,,,,,
,The Monkey Made Me Do It! 5k and Kids 1 mile fun run,4/12/2009,dgale@jolietpark.org, ,,"Woodstock, IL",,,,,,,,,,,,,,,,,
,Chesterton Peace 5k Run/Walk,4/12/2009,stofko121@yahoo.com, ,,"Chesterton, IN",,,,,,,,,,,,,,,,,
,Hammond 10k Charity Run,4/12/2009,info@hammond10K.com, ,,"Hammond, IN",,,,,,,,,,,,,,,,,
,Rock the Relay,4/12/2009,hladd@rock-the-relay.com, ,,"Indianapolis, IN",,,,,,,,,,,,,,,,,
,Spring Training,4/12/2009,cowan@lakemichigancollege.edu, ,,"Benton Harbor, MI",,,,,,,,,,,,,,,,,
,Martian Invasion of Races,4/12/2009,events@runningfit.com, ,,"Dearborn, MI",,,,,,,,,,,,,,,,,
,ERace MS 5K Run/Walk Madison,4/12/2009,EracemsWi@gmail.com, ,,"Madison, WI",,,,,,,,,,,,,,,,,
,"360 Spring Ahead 10K and 5K, and Fun Run",4/13/2009,dportner@360youthservices.org, ,,"Naperville, IL",,,,,,,,,,,,,,,,,
,5K Spring Shuffle,4/13/2009,elawhead@addisonparks.org, ,,"Addison, IL",,,,,,,,,,,,,,,,,
,Phi Delta Chi 5k Walk/Run (proceeds to benefit St Jude Children's Research Hosp),4/13/2009,Phi.Delta.Chi.5K@gmail.com, ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Dewey Dash,4/13/2009,library@elburn.lib.il.us, ,,"Elburn, IL",,,,,,,,,,,,,,,,,
,Run Thru the Hills 5K/10K,4/13/2009,agemmell@lith.org, ,,"Lake in the Hills, IL",,,,,,,,,,,,,,,,,
,2013 ABD Indoor Time Trial Series - TT #4 - John Fraser Memorial Time Trial,4/13/2009,abdcycling@gmail.com, ,,"Maple Park, IL",,,,,,,,,,,,,,,,,
,Yorkville Tax Dodge 5k Run/Walk & 10k Run,4/13/2009,tevans.@yorkville.il.us, ,,"Yorkville , IL",,,,,,,,,,,,,,,,,
,Crossroads of Northwest Indiana Marathon and Half Marathon,4/13/2009,fdkbjohn@sbcglobal.net, ,,"Lowell, IN",,,,,,,,,,,,,,,,,
,Iola Trail Run,4/13/2009,info@greatlakesendurance.com, ,,"Iola, WI",,,,,,,,,,,,,,,,,
,2013 Easter Ride,4/17/2009,easterride@folksonspokes.com, ,,"Park Forest, IL",,,,,,,,,,,,,,,,,
,I Walk For ECAC' 5K Walk-a-thon,4/19/2009,skettering@ecachicago.org, ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Boston Marathon Celebration in Chicago,4/19/2009,, ,,"Chicago , IL",,,,,,,,,,,,,,,,,
,Resurrection College Prep High School -Run for Res 5K Fun Run/Walk,4/19/2009,cmarchetti@reshs.org, ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Neighbors' House 5K Run!,4/19/2009,neighborshouse@frontier.com, ,,"DeKalb, IL",,,,,,,,,,,,,,,,,
,"Shelter, Inc. 7th Annual 5K Run/Walk 4 Kidz",4/19/2009,bmazursky@shelter-inc.org, ,,"Elk Grove Village, IL",,,,,,,,,,,,,,,,,
,Abe's Mini Triathlon,4/19/2009,dfcox888@msn.com, ,,"Petersburg, IL",,,,,,,,,,,,,,,,,
,Pioneer Sprint Triathlon,4/19/2009,dfcox888@msn.com, ,,"Petersburg, IL",,,,,,,,,,,,,,,,,
,Striders Saturday Classic,4/19/2009,s.webster@stridersrun.com,6162619706 ,,"Grandville, MI",,,,,,,,,,,,,,,,,
,Get Your Rear In Gear for Colon Cancer 5K Run and Walk,4/20/2009,mary@andersonraces.com, ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Earth Day 50K & 15M Trail Races,4/20/2009,dirtrunner100@yahoo.com,8152612667 ,,"Crystal Lake, IL",,,,,,,,,,,,,,,,,
,"Healthy Parks, Healthy Patients 5K",4/20/2009,jprice@rmlsh.org,6302864400 ,,"Hinsdale, IL",,,,,,,,,,,,,,,,,
,The Arbor Day10K,4/20/2009,dfischer-woods@mortonarb.org,6307195708 ,,"Lisle , IL",,,,,,,,,,,,,,,,,
,LTHS Foundation 5K,4/20/2009,kbrehm@lths.org,8155888121 ,,"Lockport, IL",,,,,,,,,,,,,,,,,
,California Spring Training Camp,4/20/2009,tony@tzcoaching.com,7086575016 ,,"Monterey, IL",,,,,,,,,,,,,,,,,
,The Yellow Jacket Challenge!,4/20/2009,yjcinfo@greenville.k12.mi.us,6162256136 ,,"Greenville, MI",,,,,,,,,,,,,,,,,
,Yellow Jacket Challenge,4/20/2009,yjcinfo@greenville.k12.mi.us,6162256136 ,,"Greenville, MI",,,,,,,,,,,,,,,,,
,Lansing Marathon/Lansing Half-Marathon,4/20/2009,coach.owen@comcast.net,5173036173 ,,"Lansing, MI",,,,,,,,,,,,,,,,,
,ERace MS 5K/10K Run/Walk Nashotah,4/20/2009,ERaceMSWi@gmail.com, ,,"Nashotah, WI",,,,,,,,,,,,,,,,,
,Oshkosh Half Marathon & 5K,4/20/2009,info@midwestsportsevents.com,8004298044 ,,"Oshkosh, WI",,,,,,,,,,,,,,,,,
,Universal Sole 4 Mile Classic,4/24/2009,ryan@universalsole.com,7738680893 ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Courage & Valor Run,4/24/2009,tuxbro@indy.rr.com,3177333300 ,,"Indianapolis, IN",,,,,,,,,,,,,,,,,
,13th Annual Fox Trot 5K Run/Walk,4/26/2009,foxtrot@bataviamothersclub.org, ,,"Batavia, IL",,,,,,,,,,,,,,,,,
,Ike Hike 5k and 1 Mile Walk,4/26/2009,amy.stevens@chsd218.org,7085976300 48,,"Blue Island, IL",,,,,,,,,,,,,,,,,
,Doc Spackman Memorial Triathlon,4/26/2009,hollistr@siu.edu,6185496529 ,,"Carbondale, IL",,,,,,,,,,,,,,,,,
,5K for Earth Day,4/26/2009,roberto@earthday5kchicago.com,7732090153 ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Team In Training Season Kickoff,4/26/2009,jessica.hatcher@lls.org, ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Triathlon Training Bike Ride,4/26/2009,feverriver@scbglobal.net,8157769425 ,,"Galena, IL",,,,,,,,,,,,,,,,,
,Oswego Big Mouth Adventure Race,4/26/2009,kvest@oswegolandpd.org,6305541010 442,,"Oswego, IL",,,,,,,,,,,,,,,,,
,Peanut Butter Duathlon,4/26/2009,rrvp@rockriver.net,8159786125 ,,"Rockford, IL",,,,,,,,,,,,,,,,,
,Dine N' Dash,4/26/2009,Kherrmann@rparks.org,6308944200 ,,"Roselle, IL",,,,,,,,,,,,,,,,,
,Talk Walk Run,4/26/2009,tuxbro@indy.rr.com,3177333300 ,,"Indianapolis, IN",,,,,,,,,,,,,,,,,
,Calvin 5k Spring Classic & Karen Muyskens Family Fun Run,4/26/2009,5k@calvin.edu,6165266507 ,,"Grand Rapids, MI",,,,,,,,,,,,,,,,,
,Trail Marathon/Road Ends Weekend,4/26/2009,events@runningfit.com,7349299027 ,,"Pinckney, MI",,,,,,,,,,,,,,,,,
,Bear Paws for a Cause: 4K Trail Run / Walk,4/26/2009,mccoy@uwp.edu,2625953360 ,,"Kenosha, WI",,,,,,,,,,,,,,,,,
,UW-Parkside Bear Paws for a Cause,4/26/2009,mccoy@uwp.edu,2625952245 ,,"Kenosha, WI",,,,,,,,,,,,,,,,,
,Crazylegs Classic 8K Run / 2 Mile Walk,4/26/2009,crazylegs@athletics.wisc.edu,6082615347 ,,"Madison, WI",,,,,,,,,,,,,,,,,
,Free Triathlete Clinic - become a triathlete in 2013!,4/26/2009,fitness@plprairie.com,2629256742 ,,"Pleasant Prairie, WI",,,,,,,,,,,,,,,,,
,Heritage Run,4/27/2009,bzoeller@rockriverymca.org,8154891133 ,,"Rockford, IL",,,,,,,,,,,,,,,,,
,"Alivio y Salud, 5K Run for Health",4/27/2009,agasca@aliviomedicalcenter.org,3128296638 ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,"Ravenswood Run, a neighborhood 5K",4/27/2009,Race@FleetFeetChicago.com,7735613338 2,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Walk Now for Autism Speaks,4/27/2009,colleen.friel@autismspeaks.org,2245678573 ,,"Glenco , IL",,,,,,,,,,,,,,,,,
,Endure It! 2-Person 5-Mile Relay,4/27/2009,daniel.dziubski@gmail.com,6303056771 ,,"Naperville, IL",,,,,,,,,,,,,,,,,
,Race That's Good For Life,4/27/2009,race@oprc.net, ,,"Oak Park, IL",,,,,,,,,,,,,,,,,
,Steps Toward A Brighter Future,4/27/2009,celebratedifferences@yahoo.com,6308853006 ,,"Oswego, IL",,,,,,,,,,,,,,,,,
,IVCA Dirty Mudd'r,4/27/2009,redd.d@mchsi.com, ,,"Streator, IL",,,,,,,,,,,,,,,,,
,Best Buddies,4/27/2009,tuxbro@indy.rr.com,3177333300 ,,"Indianapolis, IN",,,,,,,,,,,,,,,,,
,RecPlex April Indoor/Outdoor Triathlon,4/27/2009,raceinfo@plprairie.com,2629256742 ,,"Pleasant Prairie, WI",,,,,,,,,,,,,,,,,
,Monday Night Bicycle Racing Clinic at the Ed Rudolph Velodrome,4/28/2009,comm@northbrookvelodrome.org,8472912980 ,,"Northbrook, IL",,,,,,,,,,,,,,,,,
,Wisconsin Marathon,5/3/2009,jcain@mychicagoathlete.com,8476750200 210,,"Kenosha, WI",,,,,,,,,,,,,,,,,
,FunRacer5K for Freeman School,5/3/2009,funracer5k@gmail.com, ,,"Aurora , IL",,,,,,,,,,,,,,,,,
,5th Annual Arthur Stephens Scholarship 5K Walk-Run,5/3/2009,PKeenan@tallulahgroup.com,7739953839 ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Bark in the Park,5/3/2009,events@anticruelty.org,3126458006 ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,On Your Marks 5k and 10k,5/3/2009,hamer6@att.net,6302670040 ,,"Downers Grove, IL",,,,,,,,,,,,,,,,,
,"Big Hollow PTO 5K Run/Walk, 1 Mile Fun Run and Kids Fun Run",5/3/2009,info@bighollow5k.com,8477401490 ,,"Ingleside, IL",,,,,,,,,,,,,,,,,
,Joliet Junior College Foundation 5K Run/Walk and Wolves' Run 1 Mile Kid's Race,5/3/2009,aquinn@jjc.edu, ,,"Joliet, IL",,,,,,,,,,,,,,,,,
,10th Annual Run for the Kids,5/3/2009,kmoreland@eastersealsdfvr.org, ,,"Villa Park, IL",,,,,,,,,,,,,,,,,
,Young Life Access 10k / 5k,5/3/2009,cjderfelt@wowway.com,6305446212 ,,"Wheaton, IL",,,,,,,,,,,,,,,,,
,GREAT AMAZING RACE Adventure Race & Family Activity 1M - Indianapolis,5/3/2009,info@flyingcolorssports.com,5135180528 ,,"Indianapolis, IN",,,,,,,,,,,,,,,,,
,OneAmerica 500 Festival Mini-Marathon & Finish Line 500 Festival 5K,5/3/2009,raceinfo@500festival.com,3176146464 ,,"Indianapolis, IN",,,,,,,,,,,,,,,,,
,Pigeon River Classic,5/3/2009,info@greatlakesendurance.com,7157010360 ,,"Clintonville, WI",,,,,,,,,,,,,,,,,
,Lake Monona 20K,5/3/2009,raceday@racedayeventsllc.com,6083165755 ,,"Madison, WI",,,,,,,,,,,,,,,,,
,"RC2, 5K, 10K and Half Marathon",5/3/2009,rmctriathlon@agnesian.com,9207480528 ,,"Ripon, WI",,,,,,,,,,,,,,,,,
,Book It! 5K & Family Run,5/3/2009,info@runwhitewater.com,9203970601 ,,"Whitewater, WI",,,,,,,,,,,,,,,,,
,Care Walk 2013,5/4/2009,Tri-2000@att.net,8005227222 ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Cinco de Miler,5/4/2009,info@ramracing.org, ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,16th Annual Bob Blazier Run For The Arts,5/4/2009,mthomfohrda@rauecenter.org,8153569010 ,,"Crystal Lake, IL",,,,,,,,,,,,,,,,,
,Matthiessen Mountain Madness,5/4/2009,danieleiten@yahoo.com, ,,"Oglesby, IL",,,,,,,,,,,,,,,,,
,Great Western Half Marathon,5/4/2009,greatwestern@foxrivertrailrunners.org, ,,"St. Charles, IL",,,,,,,,,,,,,,,,,
,We Go Run,5/4/2009,racetime21@hotmail.com,6309338415 ,,"West Chicago, IL",,,,,,,,,,,,,,,,,
,Kalamazoo Marathon,5/4/2009,info@borgessrun.com,18772552447 ,,"Kalamazoo, MI",,,,,,,,,,,,,,,,,
,Scheel's Run 4 Home,5/4/2009,renee@pacesettersrun.org, ,,"Appleton, WI",,,,,,,,,,,,,,,,,
,10th Annual QuadruPedal Century,5/4/2009,stewart.schilling@dairylanddare.com,6089356424 ,,"Dodgeville, WI",,,,,,,,,,,,,,,,,
,Paper Discovery Duathlon,5/4/2009,info@midwestsportsevents.com,8004298044 ,,"Neenah, WI",,,,,,,,,,,,,,,,,
,Chicago Marathon: Tips to Get Started,5/6/2009,theroadtoboston@rcn.com,7733070033 ,,"Chicago , IL",,,,,,,,,,,,,,,,,
,Crew U - Adult learn to crew on racing sailboats class,5/6/2009,keelboats@chicagoyachtclub.org,3128617777 ,,"Chicago, IL",,,,,,,,,,,,,,,,,
,Food Truck 5K and Block Party,5/10/2009,brian.campuslife@gmail.com,8472608260 ,,"Arlington Heights, IL",,,,,,,,,,,,,,,,,
,6th Annual Nancy Young Fun Run,5/10/2009,info@nancyyoungrun.com,6302298853 ,,"Aurora, IL",,,,,,,,,,,,,,,,,
,Bridge to Bridge 5k/10k,5/10/2009,ijcrane@gmail.com, ,,"Batavia, IL",,,,,,,,,,,,,,,,,
,Anti Cruelty Society Chicago Marathon Kick Off Training Run,5/10/2009,theroadtoboston@rcn.com,7733070033 ,,"Chicago , IL",,,,,,,,,,,,,,,,,
